chrom	start	end	Gene	codingDensity	geneType	geneClusterType
chrI	1	7707	YAL067W-A	0.197379	singletons	Singletons_in_SSDCluster
chrI	1	7169	YAL068C	0.146345	SSD	SSD_in_SSDCluster
chrI	1	5649	YAL069W	0.185729	singletons	Singletons_in_ComplementCluster
chrI	1	5792	YAL068W-A	0.181143	singletons	Singletons_in_ComplementCluster
chrI	2235	14017	YAL067C	0.319301	SSD	SSD_in_SSDCluster
chrI	4591	15194	YAL066W	0.333302	singletons	Singletons_in_ComplementCluster
chrI	6565	16952	YAL065C	0.340233	singletons	Singletons_in_ComplementCluster
chrI	7046	17427	YAL064W-B	0.34043	singletons	Singletons_in_ComplementCluster
chrI	8363	18744	YAL064C-A	0.23177	singletons	Singletons_in_ComplementCluster
chrI	16525	26852	YAL064W	0.336012	singletons	Singletons_in_ComplementCluster
chrI	17396	27687	YAL063C-A	0.418327	singletons	Singletons_in_ComplementCluster
chrI	19000	32969	YAL063C	0.426731	SSD	SSD_in_SSDCluster
chrI	26567	37941	YAL062W	0.554598	WGD	WGD_in_SSDCluster
chrI	28448	39702	YAL061W	0.573574	SSD	SSD_in_SSDCluster
chrI	30155	41304	YAL060W	0.722666	SSD	SSD_in_SSDCluster
chrI	31496	41919	YAL059C-A	0.830375	singletons	Singletons_in_SSDCluster
chrI	31509	42148	YAL059W	0.813516	singletons	Singletons_in_SSDCluster
chrI	32464	43973	YAL058W	0.816144	singletons	Singletons_in_SSDCluster
chrI	33696	44047	YAL056C-A	0.844556	singletons	Singletons_in_SSDCluster
chrI	34259	46902	YAL056W	0.803449	WGD	WGD_in_SSDCluster
chrI	37177	47720	YAL055W	0.828227	singletons	Singletons_in_SSDCluster
chrI	37881	50023	YAL054C	0.848707	SSD	SSD_in_SSDCluster
chrI	40899	53251	YAL053W	0.839945	WGD	WGD_in_WGDCluster
chrI	43564	56708	YAL051W	0.877054	WGD	WGD_in_WGDCluster
chrI	46855	57596	YAL049C	0.905688	singletons	Singletons_in_ComplementCluster
chrI	47801	59790	YAL048C	0.887897	singletons	Singletons_in_ComplementCluster
chrI	49584	59914	YAL047W-A	0.900194	singletons	Singletons_in_ComplementCluster
chrI	49989	61858	YAL047C	0.898138	singletons	Singletons_in_ComplementCluster
chrI	52029	62386	YAL046C	0.897461	singletons	Singletons_in_ComplementCluster
chrI	52488	62797	YAL045C	0.874382	singletons	Singletons_in_ComplementCluster
chrI	52518	62851	YAL044W-A	0.870512	singletons	Singletons_in_ComplementCluster
chrI	52950	63463	YAL044C	0.892229	singletons	Singletons_in_ComplementCluster
chrI	53695	66053	YAL043C	0.878136	singletons	Singletons_in_ComplementCluster
chrI	56231	66609	YAL042C-A	0.862112	SSD	SSD_in_SSDCluster
chrI	56316	67564	YAL042W	0.868954	SSD	SSD_in_SSDCluster
chrI	57840	70405	YAL041W	0.742778	singletons	Singletons_in_SSDCluster
chrI	60778	72521	YAL040C	0.635357	singletons	Singletons_in_SSDCluster
chrI	63716	74526	YAL039C	0.587974	SSD	SSD_in_SSDCluster
chrI	66786	78289	YAL038W	0.602365	WGD	WGD_in_WGDCluster
chrI	67326	78301	YAL037C-B	0.583235	WGD	WGD_in_WGDCluster
chrI	68426	78519	YAL037C-A	0.636481	singletons	Singletons_in_WGDCluster
chrI	69020	79824	YAL037W	0.68234	WGD	WGD_in_WGDCluster
chrI	70043	81153	YAL036C	0.726643	SSD	SSD_in_WGDCluster
chrI	71427	84436	YAL035W	0.806749	SSD	SSD_in_WGDCluster
chrI	74489	84843	YAL034C-B	0.833591	singletons	Singletons_in_WGDCluster
chrI	74718	85588	YAL034W-A	0.84149	singletons	Singletons_in_WGDCluster
chrI	75710	86952	YAL034C	0.866216	WGD	WGD_in_WGDCluster
chrI	77706	88228	YAL033W	0.849268	singletons	Singletons_in_WGDCluster
chrI	78335	89475	YAL032C	0.85763	singletons	Singletons_in_WGDCluster
chrI	79669	89978	YAL031W-A	0.851295	singletons	Singletons_in_WGDCluster
chrI	79749	92032	YAL031C	0.875193	singletons	Singletons_in_WGDCluster
chrI	82286	92753	YAL030W	0.851056	singletons	Singletons_in_WGDCluster
chrI	82855	97271	YAL029C	0.89692	WGD	WGD_in_WGDCluster
chrI	87900	99487	YAL028W	0.928454	WGD	WGD_in_WGDCluster
chrI	89687	100473	YAL027W	0.923141	singletons	Singletons_in_ComplementCluster
chrI	90386	100824	YAL026C-A	0.892604	singletons	Singletons_in_ComplementCluster
chrI	90630	104698	YAL026C	0.867643	singletons	Singletons_in_ComplementCluster
chrI	94305	104869	HRA1	0.883283	singletons	Singletons_in_ComplementCluster
chrI	94725	105532	YAL025C	0.904414	singletons	Singletons_in_ComplementCluster
chrI	96565	110873	YAL024C	0.848197	singletons	Singletons_in_ComplementCluster
chrI	101272	113552	YAL023C	0.867752	WGD	WGD_in_WGDCluster
chrI	103877	115431	YAL022C	0.870867	singletons	Singletons_in_WGDCluster
chrI	105846	118360	YAL021C	0.877178	SSD	SSD_in_WGDCluster
chrI	108614	119616	YAL020C	0.876931	singletons	Singletons_in_WGDCluster
chrI	109250	119820	YAL019W-A	0.877483	singletons	Singletons_in_WGDCluster
chrI	109919	123315	YAL019W	0.873096	singletons	Singletons_in_WGDCluster
chrI	113564	124542	YAL018C	0.896065	WGD	WGD_in_WGDCluster
chrI	115225	129296	YAL017W	0.877763	WGD	WGD_in_WGDCluster
chrI	119307	129493	YAL016C-B	0.855586	singletons	Singletons_in_WGDCluster
chrI	119755	130070	YAL016C-A	0.878042	singletons	Singletons_in_WGDCluster
