chr	TSS	TTS	Gene	.	strand	geneType	geneClusterType
chrI	334	649	YAL069W	YAL069W	+	singletons	Singletons_in_ComplementCluster
chrI	537	792	YAL068W-A	YAL068W-A	+	singletons	Singletons_in_ComplementCluster
chrI	1806	2169	YAL068C	PAU8	-	SSD	SSD_in_SSDCluster
chrI	2479	2707	YAL067W-A	YAL067W-A	+	singletons	Singletons_in_ComplementCluster
chrI	7235	9017	YAL067C	SEO1	-	SSD	SSD_in_SSDCluster
chrI	9591	10194	YAL066W	YAL066W	+	singletons	Singletons_in_ComplementCluster
chrI	11565	11952	YAL065C	YAL065C	-	singletons	Singletons_in_ComplementCluster
chrI	12046	12427	YAL064W-B	YAL064W-B	+	singletons	Singletons_in_ComplementCluster
chrI	13363	13744	YAL064C-A	TDA8	-	singletons	Singletons_in_ComplementCluster
chrI	21525	21852	YAL064W	YAL064W	+	singletons	Singletons_in_ComplementCluster
chrI	22396	22687	YAL063C-A	YAL063C-A	-	singletons	Singletons_in_ComplementCluster
chrI	24000	27969	YAL063C	FLO9	-	SSD	SSD_in_SSDCluster
chrI	31567	32941	YAL062W	GDH3	+	WGD	WGD_in_SSDCluster
chrI	33448	34702	YAL061W	BDH2	+	SSD	SSD_in_WGDCluster
chrI	35155	36304	YAL060W	BDH1	+	SSD	SSD_in_WGDCluster
chrI	36496	36919	YAL059C-A	YAL059C-A	-	singletons	Singletons_in_ComplementCluster
chrI	36509	37148	YAL059W	ECM1	+	singletons	Singletons_in_WGDCluster
chrI	37464	38973	YAL058W	CNE1	+	singletons	Singletons_in_WGDCluster
chrI	38696	39047	YAL056C-A	YAL056C-A	-	singletons	Singletons_in_ComplementCluster
chrI	39259	41902	YAL056W	GPB2	+	WGD	WGD_in_SSDCluster
chrI	42177	42720	YAL055W	PEX22	+	singletons	Singletons_in_WGDCluster
chrI	42881	45023	YAL054C	ACS1	-	SSD	SSD_in_WGDCluster
chrI	45899	48251	YAL053W	FLC2	+	WGD	WGD_in_WGDCluster
chrI	48564	51708	YAL051W	OAF1	+	WGD	WGD_in_WGDCluster
chrI	51855	52596	YAL049C	AIM2	-	singletons	Singletons_in_ComplementCluster
chrI	52801	54790	YAL048C	GEM1	-	singletons	Singletons_in_ComplementCluster
chrI	54584	54914	YAL047W-A	YAL047W-A	+	singletons	Singletons_in_ComplementCluster
chrI	54989	56858	YAL047C	SPC72	-	singletons	Singletons_in_ComplementCluster
chrI	57029	57386	YAL046C	BOL3	-	singletons	Singletons_in_ComplementCluster
chrI	57488	57797	YAL045C	YAL045C	-	singletons	Singletons_in_ComplementCluster
chrI	57518	57851	YAL044W-A	BOL1	+	singletons	Singletons_in_ComplementCluster
chrI	57950	58463	YAL044C	GCV3	-	singletons	Singletons_in_ComplementCluster
chrI	58695	61053	YAL043C	PTA1	-	singletons	Singletons_in_ComplementCluster
chrI	61231	61609	YAL042C-A	YAL042C-A	-	singletons	Singletons_in_ComplementCluster
chrI	61316	62564	YAL042W	ERV46	+	SSD	SSD_in_SSDCluster
chrI	62840	65405	YAL041W	CDC24	+	singletons	Singletons_in_SSDCluster
chrI	65778	67521	YAL040C	CLN3	-	singletons	Singletons_in_SSDCluster
chrI	68716	69526	YAL039C	CYC3	-	SSD	SSD_in_SSDCluster
chrI	71786	73289	YAL038W	CDC19	+	WGD	WGD_in_SSDCluster
chrI	72326	73301	YAL037C-B	YAL037C-B	-	singletons	Singletons_in_ComplementCluster
chrI	73426	73519	YAL037C-A	YAL037C-A	-	singletons	Singletons_in_ComplementCluster
