NoPair	geneNameA	chromA	startA	endA	strandA	distTelomerA	distCentromereA	distanceARSA	Nucleosome_Neigh_geneA	geneNameB	chromB	startB	endB	strandB	distTelomerB	distCentromereB	distanceARSB	Chrom_Dist	Type	nucCor_prom	nucCor_SEQ	Jaccard_tf	dist	nameA	nameB	Distance_a_b_corrected	ACS	Ranking	Nucleosome_Neigh_geneB	PairRank	PairACS	NumA	NeighbA_ACS	NeighbA_Rank	NumB	NeighbB_ACS	NeighbB_Rank
93	YAL012W	chrI	130801	131986	+	0.426666	0.121115	6204	0.1012776455668	YGL184C	chrVII	154620	156018	-	0.14173	0.682484	7165	DIFF	SSD	0.1137874	0.07650133	0.125	NA	CYS3	STR3	0.4889747989	1.8	414	-0.00992152899289377	414	1.8	90	1.62666666666667	775.922222222222	90	1.08444444444444	2374.22222222222
592	YAL015C	chrI	126903	128103	-	0.443534	0.146564	2306	-0.0310280978268658	YOL043C	chrXV	248390	249533	-	0.227612	0.232077	27998	DIFF	WGD	-0.098294637	-0.1036698	0.0625	NA	NTG1	NTG2	0.0195543369	1.9	77	-0.0310853512935164	77	1.9	71	1.41549295774648	1431.21126760563	103	1.02621359223301	2959.17475728155
593	YAL017W	chrI	120225	124296	+	0.460071	0.171514	54	-0.104095387436504	YOL045W	chrXV	243495	246801	+	0.223126	0.240414	30730	DIFF	WGD	-0.118977783	-0.03252758	0.2592592593	NA	PSK1	PSK2	NA	1.4	1656	0.0196098982806117	1656	1.4	56	1.41428571428571	1552.28571428571	110	1.01090909090909	2864.45454545455
594	YAL018C	chrI	118564	119542	-	0.480722	0.202671	4808	-0.0482751401477337	YOL048C	chrXV	240202	241309	-	0.220109	0.257173	36222	DIFF	WGD	-0.066931612	0.01929734	0.16	NA	LDS1	RRT8	NA	0.7	1402	-0.00760167722104405	1402	0.7	56	1.38571428571429	1579.30357142857	90	0.986666666666667	2717.52222222222
595	YAL023C	chrI	106272	108552	-	0.461635	0.274698	15798	0.00397754782028268	YOR321W	chrXV	916026	918288	+	0.158529	0.770475	7486	DIFF	WGD	0.084215192	0.03966991	0.2272727273	NA	PMT2	PMT3	0.3877413359	2.2	164	-0.0500483786263415	164	2.2	56	1.75	615.660714285714	90	1.24	1969.47777777778
596	YAL028W	chrI	92900	94487	+	0.403548	0.366878	22411	0.0986749455523112	YOR324C	chrXV	923228	925037	-	0.152345	0.779907	14688	DIFF	WGD	0.077761579	0.1201131	0.16	NA	FRT2	FRT1	0.1068333149	1.5	1373	-0.0600119565632209	1373	1.5	56	1.61071428571429	1146.67857142857	110	1.37454545454545	1735.74545454545
597	YAL029C	chrI	87855	92271	-	0.381633	0.381401	17366	0.100760593753208	YOR326W	chrXV	925717	930442	+	0.147392	0.783167	17177	DIFF	WGD	-0.40824829	-0.2205126	0.1923076923	NA	MYO4	MYO2	NA	2	49	-0.00346127004924674	49	2	56	1.68571428571429	839.946428571429	90	1.39111111111111	1572.75555555556
598	YAL030W	chrI	87286	87753	+	0.379161	0.411012	16797	0.194242051705216	YOR327C	chrXV	930730	931078	-	0.146809	0.789732	22190	DIFF	WGD	-0.213844343	-0.1618873	0.25	NA	SNC1	SNC2	0.7262907467	1.7	729	0.0597445526157025	729	1.7	72	1.70833333333333	918.916666666667	90	1.24888888888889	1957.44444444444
599	YAL034C	chrI	80710	81952	-	0.350596	0.449031	10221	0.0931572652496905	YOR338W	chrXV	956894	957986	+	0.122152	0.823996	23473	DIFF	WGD	-0.107752678	0.08603984	0.1818181818	NA	FUN19	YOR338W	0.2071918145	1	3888	-0.0767397830244311	3888	1	90	1.26666666666667	2150.18888888889	90	1.29111111111111	2033.26666666667
94	YAL036C	chrI	75043	76153	-	0.325979	0.487036	4554	-0.0561520650043882	YGR173W	chrVII	843858	844965	+	0.225476	0.583262	9120	DIFF	SSD	NA	-0.07095607	0.12	NA	RBG1	RBG2	0.049524619	3.6	62	0.205831439776666	62	3.6	80	1.12625	2376.875	81	1.22716049382716	2092.75308641975
600	YAL037W	chrI	74020	74824	+	0.321535	0.495747	3531	0.0212743455202557	YOR342C	chrXV	966662	967622	-	0.113322	0.836789	13837	DIFF	WGD	0.256680921	0.09201643	0.2666666667	NA	YAL037W	YOR342C	0.3877132649	0.6	3367	0.139972354154436	3367	0.6	80	1.11875	2397.075	72	1.1	2183.70833333333
601	YAL038W	chrI	71786	73289	+	0.311831	0.505807	1297	0.0480683224568493	YOR347C	chrXV	984938	986459	-	0.0960607	0.860723	3245	DIFF	WGD	0.051917413	-0.01134023	0.25	NA	CDC19	PYK2	0.8384249097	1.5	638	0.0965906764229571	638	1.5	81	1.25432098765432	1928.82716049383	72	1.09722222222222	2371.25
602	YAL051W	chrI	48564	51708	+	0.210957	0.647245	6382	-0.0600572603993137	YOR363C	chrXV	1020219	1023210	-	0.062384	0.906927	38526	DIFF	WGD	-0.11836983	-0.1189778	0.2777777778	NA	OAF1	PIP2	0.0674664233	1.9	102	0.0565987211784963	102	1.9	90	1.30888888888889	1544.31111111111	110	1.09272727272727	2447.44545454545
