chrom	start	end	Gene	TFNo	TFs	geneType	geneClusterType
chrI	2069	2469	YAL068C	24	FKH1,SWI5,TEC1,YOX1,SPT2,MOT3,DIG1,STE12,TEC1,ASH1,GLN3,DAL82,DIG1,TEC1,DAL80,FKH1,DIG1,STE12,HAP4,DIG1,SPT23,ADR1,DIG1,STE12	SSD	SSD_in_SSDCluster
chrI	2179	2579	YAL067W-A	24	FKH1,SWI5,TEC1,YOX1,SPT2,MOT3,DIG1,STE12,TEC1,ASH1,GLN3,DAL82,DIG1,TEC1,DAL80,FKH1,DIG1,STE12,HAP4,DIG1,SPT23,ADR1,DIG1,STE12	singletons	Singletons_in_ComplementCluster
chrI	8917	9317	YAL067C	21	YAP7,TEC1,MOT3,FKH1,FKH1,SPT23,GLN3,DAL82,GZF3,GAT1,DAL80,ADR1,RCS1,AFT2,FKH1,SUM1,GCN4,STE12,TEC1,MET31,MET32	SSD	SSD_in_SSDCluster
chrI	9291	9691	YAL066W	43	MET31,MET32,HAP5,HAP2,HAP3,RGT1,DAL80,SWI6,PHO4,ASH1,YAP7,GLN3,MOT3,GCR1,MSN2,MSN4,ADR1,REB1,DAL82,GLN3,HAP5,HAP3,HAP2,HAP1,ADR1,HAP3,HAP5,HAP2,SOK2,YHP1,DAL80,SFP1,SPT23,MOT3,HAP4,HAP2,HAP5,HAP3,YHP1,SPT23,SPT23,DAL80,YAP7	singletons	Singletons_in_ComplementCluster
chrI	11746	12146	YAL064W-B	5	BAS1,TEC1,ADR1,SKN7,SUT1	singletons	Singletons_in_ComplementCluster
chrI	11852	12252	YAL065C	5	BAS1,TEC1,ADR1,SKN7,SUT1	singletons	Singletons_in_ComplementCluster
chrI	21225	21625	YAL064W	22	YAP7,GCN4,ASH1,SOK2,AFT2,SPT23,YAP7,YAP6,YAP5,YAP3,ARR1,SPT23,MOT3,DIG1,STE12,ROX1,MOT3,HSF1,SOK2,DIG1,STE12,SWI5	singletons	Singletons_in_ComplementCluster
chrI	22587	22987	YAL063C-A	13	SPT23,TEC1,DIG1,STE12,DAL80,GLN3,DAL82,DIG1,SPT23,DIG1,STB1,SWI6,STE12	singletons	Singletons_in_ComplementCluster
chrI	27869	28269	YAL063C	20	MOT3,FKH1,SUM1,CIN5,MOT3,SOK2,DAL80,ADR1,SPT23,MOT3,SPT23,AFT2,SPT23,CAD1,YAP7,YHP1,ASH1,SOK2,INO2,HSF1	SSD	SSD_in_SSDCluster
chrI	31267	31667	YAL062W	26	SUT1,GCR1,AFT2,HAP4,HAP2,HAP5,HAP3,YAP7,DAL82,GZF3,GAT1,DAL80,GLN3,GZF3,DAL80,DAL82,DAL80,GZF3,GLN3,DAL80,MOT3,FKH1,ASH1,CIN5,MOT3,MOT3	WGD	WGD_in_SSDCluster
chrI	33148	33548	YAL061W	23	HAP3,HAP2,HAP5,GAT1,DAL80,GZF3,DAL82,GLN3,MSN4,ADR1,AFT2,INO2,DAL80,SPT23,SOK2,YAP7,ASH1,TEC1,HAP3,HAP2,HAP5,YOX1,ROX1	SSD	SSD_in_WGDCluster
chrI	34855	35255	YAL060W	29	MAC1,MSN2,ADR1,MSN4,SPT23,STB4,STE12,PUT3,FKH2,GLN3,DAL82,MOT3,TEC1,ADR1,RPH1,ADR1,NRG1,AFT2,STE12,DIG1,DAL80,UME1,SPT23,HAP3,HAP2,HAP5,YAP7,SUM1,ASH1	SSD	SSD_in_WGDCluster
chrI	36209	36609	YAL059W	11	NRG1,SUT1,DIG1,STE12,HSF1,SOK2,AZF1,RLR1,HSF1,AFT2,NRG1	singletons	Singletons_in_WGDCluster
chrI	36819	37219	YAL059C-A	4	TEC1,HSF1,DIG1,TEC1	singletons	Singletons_in_ComplementCluster
chrI	37164	37564	YAL058W	14	TEC1,HSF1,DIG1,TEC1,CIN5,DAL80,DAL82,GLN3,SPT23,DIG1,DIG1,RLR1,TEC1,DAL80	singletons	Singletons_in_WGDCluster
chrI	38947	39347	YAL056C-A	20	DIG1,SOK2,DIG1,STE12,TEC1,GAT1,DAL80,GZF3,DAL82,GLN3,RGT1,YOX1,TEC1,DIG1,GCN4,HAP4,HAP3,HAP2,HAP5,SOK2	singletons	Singletons_in_ComplementCluster
chrI	38959	39359	YAL056W	20	DIG1,SOK2,DIG1,STE12,TEC1,GAT1,DAL80,GZF3,DAL82,GLN3,RGT1,YOX1,TEC1,DIG1,GCN4,HAP4,HAP3,HAP2,HAP5,SOK2	WGD	WGD_in_SSDCluster
chrI	41877	42277	YAL055W	16	MOT3,FKH1,STE12,DIG1,DIG1,ACE2,SPT23,YHP1,YHP1,TEC1,SWI5,SIG1,STE12,DIG1,YOX1,HSF1	singletons	Singletons_in_WGDCluster
chrI	44923	45323	YAL054C	28	SPT23,THI2,HSF1,DAL80,GLN3,UME6,SPT23,RPN4,RCS1,ADR1,ADR1,STP1,SKN7,UME6,ADR1,FKH2,UME1,SPT23,DAL80,DAL82,GLN3,TEC1,ADR1,HAP4,HAP2,HAP3,HAP5,ABF1	SSD	SSD_in_WGDCluster
chrI	45599	45999	YAL053W	21	SPT23,AZF1,STE12,DIG1,SWI6,SWI4,SWI5,SPT23,DAL80,MOT3,AFT2,ADR1,MSN4,DIG1,STE12,SOK2,DIG1,STE12,SPT23,DIG1,STE12	WGD	WGD_in_WGDCluster
chrI	48264	48664	YAL051W	17	INO4,INO2,DIG1,STE12,CIN5,RLR1,DAL80,TEC1,DAL80,SUM1,SUM1,SKO1,STE12,FKH1,ADR1,PHD1,CIN5	WGD	WGD_in_WGDCluster
chrI	52496	52896	YAL049C	14	GCN4,BAS1,GLN3,DAL82,GZF3,GAT1,DAL80,AFT2,STB1,DAL80,SKN7,SPT23,DIG1,STE12	singletons	Singletons_in_ComplementCluster
chrI	54690	55090	YAL048C	11	FKH1,FKH2,SPT23,SPT23,FKH1,YOX1,TEC1,REB1,FKH1,MOT3,BAS1	singletons	Singletons_in_ComplementCluster
chrI	56758	57158	YAL047C	13	UME1,TEC1,FKH1,SPT23,SUM1,SWI6,SWI4,STB1,MBP1,YHP1,SPT2,FKH2,FKH1	singletons	Singletons_in_ComplementCluster
chrI	57218	57618	YAL044W-A	8	DIG1,STE12,MOT3,STB1,SWI6,RTG3,RGT1,HAP4	singletons	Singletons_in_ComplementCluster
chrI	57286	57686	YAL046C	8	DIG1,STE12,MOT3,STB1,SWI6,RTG3,RGT1,HAP4	singletons	Singletons_in_ComplementCluster
chrI	57697	58097	YAL045C	5	PHO4,ROX1,STE12,DIG1,CIN5	singletons	Singletons_in_ComplementCluster
chrI	58363	58763	YAL044C	19	SPT2,FKH1,SPT2,BAS1,GCN4,ADR1,PDR1,BAS1,GCN4,ADR1,CIN5,NRG1,DAL80,DIG1,STE12,AFT2,NRG1,INO2,PHO4	singletons	Singletons_in_ComplementCluster
chrI	60953	61353	YAL043C	6	ASH1,MOT3,SIG1,ABF1,ADR1,GCR1	singletons	Singletons_in_ComplementCluster
chrI	61016	61416	YAL042W	6	ASH1,MOT3,SIG1,ABF1,ADR1,GCR1	SSD	SSD_in_SSDCluster
chrI	62540	62940	YAL041W	19	HAP2,HAP3,HAP5,ABF1,DAL80,STB1,MBP1,SWI4,SWI6,MOT3,SPT2,STE12,DIG1,TEC1,DAL82,DAL80,MOT3,SKN7,HAP4	singletons	Singletons_in_SSDCluster
chrI	67421	67821	YAL040C	18	UME1,TEC1,GCN4,SUM1,SPT23,SOK2,ADR1,MCM1,NDD1,SPT23,HAP2,HAP3,HAP5,TEC1,SIG1,SPT23,MCM1,TEC1	singletons	Singletons_in_SSDCluster
chrI	69426	69826	YAL039C	30	MAC1,SOK2,MOT3,SPT23,YAP7,STB1,CAD1,DAL80,REB1,UME1,DAL80,SWI6,RLR1,AFT2,SUT1,MSN2,ADR1,SKN7,ADR1,AFT2,RGT1,GAL80,GAL4,SUT1,PHD1,SUT1,SWI6,YAP7,SNT2,AZF1	SSD	SSD_in_SSDCluster
chrI	71486	71886	YAL038W	23	UME1,TEC1,MOT3,SUM1,SKN7,SPT23,MSN4,DIG1,TEC1,DIG1,TEC1,SPT23,FKH1,FKH2,FKH1,STE12,DIG1,HAP4,HAP2,HAP3,HAP5,STE12,DIG1	WGD	WGD_in_SSDCluster
chrI	73201	73601	YAL037C-B	14	SPT23,CIN5,SPT2,UME1,CIN5,SPT23,MOT3,GCN4,BAS1,ASH1,ADR1,DAL80,DAL80,DAL80	singletons	Singletons_in_ComplementCluster
chrI	73419	73819	YAL037C-A	24	MOT3,GCN4,BAS1,ASH1,ADR1,DAL80,DAL80,DAL80,SPT23,SPT23,SPT23,INO2,SWI6,MBP1,PHD1,SOK2,YHP1,SWI6,SWI4,STB1,MBP1,DIG1,STE12,TEC1	singletons	Singletons_in_ComplementCluster
chrI	73720	74120	YAL037W	36	SWI6,MBP1,PHD1,SOK2,YHP1,SWI6,SWI4,STB1,MBP1,DIG1,STE12,TEC1,GLN3,DAL82,GZF3,GAT1,DAL80,DIG1,GAT1,DAL80,GZF3,DAL82,RGT1,ADR1,FKH1,DIG1,STE12,SPT23,YOX1,CIN5,SUM1,HAP2,HAP3,HAP5,CIN5,SWI6	WGD	WGD_in_SSDCluster
chrI	76053	76453	YAL036C	27	HAP4,AFT2,SOK2,DIG1,STE12,DAL82,RCS1,STB5,HAP1,GLN3,DIG1,NRG1,ABF1,INO2,DIG1,DIG1,RPN4,GAT1,DAL80,GZF3,DAL82,GLN3,HAP4,GAT1,DAL80,GZF3,DAL82	SSD	SSD_in_WGDCluster
chrI	76127	76527	YAL035W	27	HAP4,AFT2,SOK2,DIG1,STE12,DAL82,RCS1,STB5,HAP1,GLN3,DIG1,NRG1,ABF1,INO2,DIG1,DIG1,RPN4,GAT1,DAL80,GZF3,DAL82,GLN3,HAP4,GAT1,DAL80,GZF3,DAL82	SSD	SSD_in_WGDCluster
chrI	81852	82252	YAL034C	21	AFT2,ADR1,AFT2,PHD1,SFP1,FHL1,RAP1,SOK2,MET31,MET32,HAP2,HAP3,HAP5,YAP7,HAP2,HAP3,HAP5,FKH1,DIG1,STE12,DAL80	WGD	WGD_in_WGDCluster
chrI	82406	82806	YAL033W	16	AFT2,GLN3,DAL82,ADR1,RLR1,AFT2,ADR1,YHP1,ADR1,ASH1,DIG1,DIG1,STE12,DIG1,STE12,FKH1	singletons	Singletons_in_WGDCluster
chrI	84369	84769	YAL031W-A	17	SWI5,INO2,PHO4,GCN4,STE12,ADR1,DIG1,SPT23,MOT3,SPT23,DIG1,GCN4,YOX1,ROX1,FKH1,MSN2,AFT2	singletons	Singletons_in_ComplementCluster
chrI	84375	84775	YAL032C	17	SWI5,INO2,PHO4,GCN4,STE12,ADR1,DIG1,SPT23,MOT3,SPT23,DIG1,GCN4,YOX1,ROX1,FKH1,MSN2,AFT2	singletons	Singletons_in_WGDCluster
chrI	86932	87332	YAL031C	23	HSF1,HAP3,HAP2,HAP5,BAS1,ADR1,DAL80,HAP4,TEC1,DIG1,STE12,INO2,MOT3,SOK2,HSF1,DIG1,STE12,SOK2,REB1,NRG1,AFT2,SWI4,SWI6	singletons	Singletons_in_WGDCluster
chrI	86986	87386	YAL030W	23	HSF1,HAP3,HAP2,HAP5,BAS1,ADR1,DAL80,HAP4,TEC1,DIG1,STE12,INO2,MOT3,SOK2,HSF1,DIG1,STE12,SOK2,REB1,NRG1,AFT2,SWI4,SWI6	singletons	Singletons_in_ComplementCluster
chrI	92171	92571	YAL029C	22	FKH1,STE12,DIG1,UME1,SKN7,SWI4,SWI6,ROX1,HSF1,MOT3,DAL80,STB5,ADR1,SOK2,SWI5,ASH1,SOK2,DAL80,AFT2,NRG1,DAL82,XBP1	WGD	WGD_in_WGDCluster
chrI	92600	93000	YAL028W	25	AZF1,HSF1,TEC1,FKH2,FKH1,TEC1,DAL80,REB1,BAS1,SPT2,TEC1,FKH1,THI2,HSF1,MOT3,MSN4,ROX1,ROX1,STE12,DIG1,STE12,DIG1,GCN4,CIN5,MOT3	WGD	WGD_in_WGDCluster
chrI	94387	94787	YAL027W	6	DIG1,INO4,TEC1,HAP2,HAP3,HAP5	singletons	Singletons_in_ComplementCluster
chrI	99598	99998	YAL026C	29	SPT23,TEC1,DIG1,HAP4,SNT2,SWI6,SWI4,STB1,STE12,DIG1,MSN4,DIG1,STE12,RPN4,FKH1,SPT23,SUM1,HAP4,HAP3,HAP2,HAP5,TYE7,CBF1,PHO4,MCM1,YAP7,YAP1,YAP7,YAP1	singletons	Singletons_in_ComplementCluster
chrI	105773	106173	YAL024C	32	FKH2,FKH1,SWI6,SWI4,MBP1,ADR1,SKN7,AFT2,DAL80,FKH2,FKH1,DIG1,ROX1,DAL80,SPT23,YOX1,STB1,SWI6,SWI4,SWI6,SPT23,SOK2,REB1,DIG1,STE12,CAD1,YAP7,GCN4,YHP1,FKH1,DAL80,SPT23	singletons	Singletons_in_ComplementCluster
chrI	108452	108852	YAL023C	20	SWI5,OPI1,STE12,DIG1,REB1,TEC1,STE12,DIG1,FKH1,SWI4,SWI6,STE12,CIN5,DIG1,HAP2,HAP3,HAP5,ABF1,SUM1,STB1	WGD	WGD_in_WGDCluster
chrI	110331	110731	YAL022C	15	STB1,DAL80,CIN5,TEC1,ASH1,SPT23,REB1,SPT23,CIN5,DIG1,STE12,STB1,SWI6,DAL82,GLN3	singletons	Singletons_in_ComplementCluster
chrI	113260	113660	YAL021C	18	DAL80,SKO1,ADR1,SWI5,ACE2,DIG1,RAP1,DAL80,DAL82,GLN3,UME1,MOT3,DAL82,SWI5,DAL82,GZF3,GAT1,DAL80	SSD	SSD_in_SSDCluster
chrI	114516	114916	YAL020C	28	TEC1,INO2,MOT3,SOK2,DAL80,SOK2,GAL80,GAL4,AFT2,REB1,ADR1,AFT2,SUT1,SOK2,STB4,STB1,SWI4,SWI6,DIG1,DIG1,STE12,DIG1,AFT2,RCS1,AFT2,FKH2,FKH1,HSF1	singletons	Singletons_in_ComplementCluster
chrI	114619	115019	YAL019W	28	TEC1,INO2,MOT3,SOK2,DAL80,SOK2,GAL80,GAL4,AFT2,REB1,ADR1,AFT2,SUT1,SOK2,STB4,STB1,SWI4,SWI6,DIG1,DIG1,STE12,DIG1,AFT2,RCS1,AFT2,FKH2,FKH1,HSF1	singletons	Singletons_in_ComplementCluster
chrI	119442	119842	YAL018C	20	FKH1,MOT3,DIG1,STE12,YAP7,PHO4,INO2,GCN4,STE12,SUM1,GCN4,BAS1,TYE7,CBF1,PHO4,INO2,REB1,STE12,DIG1,CIN5	WGD	WGD_in_WGDCluster
chrI	119925	120325	YAL017W	30	RLR1,DAL80,UME1,STE12,DIG1,AFT2,DAL82,GLN3,ADR1,SUM1,SUM1,ASH1,DIG1,STE12,GLN3,YAP1,CAD1,HAP3,HAP5,HAP2,BAS1,FKH1,DIG1,AZF1,FKH1,DIG1,STE12,FKH2,MOT3,FKH1	WGD	WGD_in_WGDCluster
