Gene	gene_up	gene_down	length	meanSpacer	logLength	logSpacer	geneType	geneClusterType
YAL069W	1	1158	314	579.5	2.49692964807321	2.76305344029961	singletons	Singletons_in_ComplementCluster
YAL068W-A	1	1015	254	508	2.40483371661994	2.70586371228392	singletons	Singletons_in_ComplementCluster
YAL068C	311	1015	362	663	2.55870857053317	2.82151352840477	SSD	SSD_in_SSDCluster
YAL067W-A	311	4528	227	2419.5	2.35602585719312	3.38372562644464	singletons	Singletons_in_SSDCluster
YAL067C	1075	4528	1781	2801.5	3.25066391946324	3.44739062680359	SSD	SSD_in_SSDCluster
YAL066W	1075	1166	308	1120.5	2.48855071650044	3.04941186087108	singletons	Singletons_in_ComplementCluster
YAL065C	95	1166	386	630.5	2.58658730467176	2.7996850909091	singletons	Singletons_in_ComplementCluster
YAL064W-B	95	937	380	516	2.57978359661681	2.71264970162721	singletons	Singletons_in_ComplementCluster
YAL064C-A	7823	937	380	4380	2.57978359661681	3.6414741105041	singletons	Singletons_in_ComplementCluster
YAL064W	7823	545	284	4184	2.45331834004704	3.62159167585922	singletons	Singletons_in_ComplementCluster
YAL063C-A	1315	545	290	930	2.46239799789896	2.96848294855394	singletons	Singletons_in_ComplementCluster
YAL063C	3599	1315	3968	2457	3.59857166348214	3.39040515648008	SSD	SSD_in_SSDCluster
YAL062W	3599	508	1373	2053.5	3.13767053723676	3.31249470718967	WGD	WGD_in_SSDCluster
YAL061W	508	454	1253	481	3.09795107099415	2.68214507637383	SSD	SSD_in_SSDCluster
YAL060W	454	193	1148	323.5	3.05994188806195	2.50987428500472	SSD	SSD_in_SSDCluster
YAL059C-A	546	193	422	369.5	2.62531245096167	2.56761444273084	singletons	Singletons_in_SSDCluster
YAL059W	206	317	638	261.5	2.80482067872116	2.41747169320329	singletons	Singletons_in_SSDCluster
YAL058W	317	287	1508	302	3.17840134153376	2.48000694295715	singletons	Singletons_in_SSDCluster
YAL056C-A	213	1549	350	881	2.54406804435028	2.94497590841205	singletons	Singletons_in_SSDCluster
YAL056W	213	276	2642	244.5	3.42193281327851	2.38827886345964	WGD	WGD_in_SSDCluster
YAL055W	276	162	542	219	2.73399928653839	2.34044411484012	singletons	Singletons_in_SSDCluster
YAL054C	877	162	2141	519.5	3.33061666729444	2.7155855518932	SSD	SSD_in_SSDCluster
YAL053W	877	314	2351	595.5	3.37125262912494	2.7748817658188	WGD	WGD_in_WGDCluster
YAL051W	314	148	3143	231	3.49734438101758	2.36361197989214	WGD	WGD_in_WGDCluster
YAL049C	206	148	740	177	2.86923171973098	2.24797326636181	singletons	Singletons_in_ComplementCluster
YAL048C	200	206	1988	203	3.29841638006129	2.30749603791321	singletons	Singletons_in_ComplementCluster
YAL047W-A	1989	76	329	1032.5	2.51719589794997	3.01389006032844	singletons	Singletons_in_ComplementCluster
YAL047C	172	76	1868	124	3.27137687189407	2.09342168516224	singletons	Singletons_in_ComplementCluster
YAL046C	103	172	356	137.5	2.55144999797288	2.13830269816628	singletons	Singletons_in_ComplementCluster
YAL045C	154	103	308	128.5	2.48855071650044	2.10890312766731	singletons	Singletons_in_ComplementCluster
YAL044W-A	133	100	332	116.5	2.52113808370404	2.06632592536204	singletons	Singletons_in_ComplementCluster
YAL044C	233	100	512	166.5	2.70926996097583	2.22141423784234	singletons	Singletons_in_ComplementCluster
YAL043C	179	233	2357	206	3.37235958252432	2.31386722036915	singletons	Singletons_in_ComplementCluster
YAL042C-A	1232	179	377	705.5	2.57634135020579	2.84849701809037	SSD	SSD_in_SSDCluster
YAL042W	264	277	1247	270.5	3.09586645347854	2.43216726944259	SSD	SSD_in_SSDCluster
YAL041W	277	374	2564	325.5	3.40891802084678	2.51255099290421	singletons	Singletons_in_SSDCluster
YAL040C	1196	374	1742	785	3.24104815067164	2.89486965674525	singletons	Singletons_in_SSDCluster
YAL039C	2261	1196	809	1728.5	2.90794852161227	3.23766938387843	SSD	SSD_in_SSDCluster
YAL038W	2261	138	1502	1199.5	3.17666993266815	3.07900025230385	WGD	WGD_in_WGDCluster
YAL037C-B	126	2801	974	1463.5	2.98855895687862	3.16539272676981	WGD	WGD_in_WGDCluster
YAL037C-A	502	126	92	314	1.96378782734556	2.49692964807321	singletons	Singletons_in_WGDCluster
YAL037W	502	220	803	361	2.90471554527868	2.55750720190566	WGD	WGD_in_WGDCluster
YAL036C	275	220	1109	247.5	3.04493154614916	2.39357520326959	SSD	SSD_in_WGDCluster
YAL035W	275	54	3008	164.5	3.4782778319196	2.21616590228599	SSD	SSD_in_WGDCluster
YAL034C-B	868	54	353	461	2.54777470538782	2.66370092538965	singletons	Singletons_in_WGDCluster
YAL034W-A	283	123	869	203	2.93901977644867	2.30749603791321	singletons	Singletons_in_WGDCluster
YAL034C	755	123	1241	439	3.09377178149873	2.64246452024212	WGD	WGD_in_WGDCluster
YAL033W	755	108	521	431.5	2.71683772329952	2.63498080005123	singletons	Singletons_in_WGDCluster
YAL032C	195	108	1139	151.5	3.0565237240791	2.18041263283832	singletons	Singletons_in_WGDCluster
YAL031W-A	195	2309	308	1252	2.48855071650044	3.09760432887441	singletons	Singletons_in_WGDCluster
YAL031C	255	275	2282	265	3.3583156400822	2.42324587393681	singletons	Singletons_in_WGDCluster
YAL030W	255	103	466	179	2.66838591669	2.25285303097989	singletons	Singletons_in_WGDCluster
YAL029C	630	103	4415	366.5	3.64493070791359	2.56407397897715	WGD	WGD_in_WGDCluster
YAL028W	630	201	1586	415.5	3.20030318298158	2.61857102812013	WGD	WGD_in_WGDCluster
YAL027W	201	158	785	179.5	2.89486965674525	2.25406445291434	singletons	Singletons_in_ComplementCluster
YAL026C-A	4402	900	437	2651	2.64048143697042	3.42340972773309	singletons	Singletons_in_ComplementCluster
YAL026C	528	158	4067	343	3.60927417240459	2.53529412004277	singletons	Singletons_in_ComplementCluster
YAL025C	420	528	920	474	2.96378782734556	2.67577834167409	singletons	Singletons_in_ComplementCluster
