Gene	PfamDomains	LengthPfamDomain	GeneLength	PfamDomLen	PfamLengthRatio	geneType	geneClusterType
YAL001C	1	68	3573	0.000279877	0.0190316	singletons	Singletons_in_ComplementCluster
YAL002W	1	197	3825	0.000261438	0.0515033	singletons	Singletons_in_ComplementCluster
YAL003W	2	111	987	0.00202634	0.112462	singletons	Singletons_in_ComplementCluster
YAL004W	1	214	648	0.00154321	0.330247	SSD	SSD_in_SSDCluster
YAL005C	1	603	1929	0.000518403	0.312597	SSD	SSD_in_SSDCluster
YAL007C	1	177	648	0.00154321	0.273148	WGD	WGD_in_WGDCluster
YAL008W	1	88	597	0.00167504	0.147404	singletons	Singletons_in_ComplementCluster
YAL009W	1	205	780	0.00128205	0.262821	singletons	Singletons_in_ComplementCluster
YAL010C	1	492	1482	0.000674764	0.331984	singletons	Singletons_in_ComplementCluster
YAL012W	1	380	1185	0.000843882	0.320675	SSD	SSD_in_SSDCluster
YAL013W	1	220	1263	0.000791766	0.174188	singletons	Singletons_in_ComplementCluster
YAL015C	2	176	1200	0.00166667	0.146667	WGD	WGD_in_WGDCluster
YAL016W	1	101	1908	0.000524109	0.052935	singletons	Singletons_in_WGDCluster
YAL017W	1	258	4071	0.00024564	0.0633751	WGD	WGD_in_WGDCluster
YAL019W	2	448	3396	0.000588928	0.13192	singletons	Singletons_in_WGDCluster
YAL020C	1	49	1002	0.000998004	0.0489022	singletons	Singletons_in_WGDCluster
YAL021C	2	353	2514	0.000795545	0.140414	SSD	SSD_in_WGDCluster
YAL022C	1	330	1554	0.000643501	0.212355	singletons	Singletons_in_WGDCluster
YAL023C	3	614	2280	0.00131579	0.269298	WGD	WGD_in_WGDCluster
YAL024C	2	296	4308	0.000464253	0.0687094	singletons	Singletons_in_ComplementCluster
YAL025C	2	211	807	0.00247831	0.261462	singletons	Singletons_in_ComplementCluster
YAL026C	3	422	4068	0.000737463	0.103736	singletons	Singletons_in_ComplementCluster
YAL027W	1	242	786	0.00127226	0.307888	singletons	Singletons_in_ComplementCluster
YAL028W	1	194	1587	0.00063012	0.122243	WGD	WGD_in_WGDCluster
YAL029C	3	812	4416	0.000679348	0.183877	WGD	WGD_in_WGDCluster
YAL030W	1	88	467	0.00214133	0.188437	singletons	Singletons_in_WGDCluster
YAL032C	1	161	1140	0.000877193	0.141228	singletons	Singletons_in_WGDCluster
YAL033W	1	124	522	0.00191571	0.237548	singletons	Singletons_in_WGDCluster
YAL034C	1	78	1242	0.000805153	0.0628019	WGD	WGD_in_WGDCluster
YAL034W-A	1	135	870	0.00114943	0.155172	singletons	Singletons_in_WGDCluster
YAL035W	3	400	3009	0.000997009	0.132935	SSD	SSD_in_WGDCluster
YAL036C	3	300	1110	0.0027027	0.27027	SSD	SSD_in_WGDCluster
YAL038W	2	465	1503	0.00133067	0.309381	WGD	WGD_in_WGDCluster
YAL039C	1	253	810	0.00123457	0.312346	SSD	SSD_in_SSDCluster
YAL040C	1	130	1743	0.000573723	0.0745841	singletons	Singletons_in_SSDCluster
YAL041W	3	439	2565	0.00116959	0.17115	singletons	Singletons_in_SSDCluster
YAL042W	2	346	1248	0.00160256	0.277244	SSD	SSD_in_SSDCluster
YAL043C	1	242	2358	0.000424088	0.102629	singletons	Singletons_in_ComplementCluster
YAL044C	1	124	513	0.00194932	0.241715	singletons	Singletons_in_ComplementCluster
YAL044W-A	1	76	333	0.003003	0.228228	singletons	Singletons_in_ComplementCluster
YAL046C	1	77	357	0.00280112	0.215686	singletons	Singletons_in_ComplementCluster
YAL047C	1	46	1869	0.000535045	0.0246121	singletons	Singletons_in_ComplementCluster
YAL048C	4	502	1989	0.00201106	0.252388	singletons	Singletons_in_ComplementCluster
YAL049C	1	214	741	0.00134953	0.288799	singletons	Singletons_in_ComplementCluster
YAL051W	1	38	3144	0.000318066	0.0120865	WGD	WGD_in_WGDCluster
YAL053W	2	585	2352	0.00085034	0.248724	WGD	WGD_in_WGDCluster
YAL054C	3	590	2142	0.00140056	0.275444	SSD	SSD_in_SSDCluster
YAL055W	1	117	543	0.00184162	0.21547	singletons	Singletons_in_SSDCluster
YAL058W	1	380	1509	0.000662691	0.251822	singletons	Singletons_in_SSDCluster
YAL059W	1	121	639	0.00156495	0.189358	singletons	Singletons_in_SSDCluster
YAL060W	2	266	1149	0.00174064	0.231506	SSD	SSD_in_SSDCluster
YAL061W	2	267	1254	0.0015949	0.212919	SSD	SSD_in_SSDCluster
YAL062W	2	397	1374	0.0014556	0.288937	WGD	WGD_in_SSDCluster
YAL063C	17	794	3969	0.00428319	0.20005	SSD	SSD_in_SSDCluster
YAL064C-A	1	109	381	0.00262467	0.286089	singletons	Singletons_in_ComplementCluster
YAL067C	1	378	1782	0.000561167	0.212121	SSD	SSD_in_SSDCluster
YAL068C	1	93	363	0.00275482	0.256198	SSD	SSD_in_SSDCluster
YAL068W-A	1	83	255	0.00392157	0.32549	singletons	Singletons_in_ComplementCluster
YAR002C-A	1	192	660	0.00151515	0.290909	WGD	WGD_in_WGDCluster
YAR003W	1	38	1281	0.00078064	0.0296643	singletons	Singletons_in_ComplementCluster
YAR007C	3	330	1866	0.00160772	0.176849	singletons	Singletons_in_ComplementCluster
YAR008W	1	91	828	0.00120773	0.109903	singletons	Singletons_in_ComplementCluster
YAR009C	2	334	3591	0.000556948	0.0930103	singletons	Singletons_in_ComplementCluster
YAR010C	1	97	1323	0.000755858	0.0733182	singletons	Singletons_in_ComplementCluster
YAR014C	1	47	2124	0.00047081	0.0221281	singletons	Singletons_in_ComplementCluster
YAR015W	1	267	921	0.00108578	0.289902	singletons	Singletons_in_ComplementCluster
YAR018C	1	318	1308	0.000764526	0.243119	singletons	Singletons_in_ComplementCluster
YAR019C	1	247	2925	0.00034188	0.0844444	singletons	Singletons_in_ComplementCluster
YAR020C	1	31	168	0.00595238	0.184524	singletons	Singletons_in_ComplementCluster
YAR023C	1	106	540	0.00185185	0.196296	singletons	Singletons_in_ComplementCluster
YAR027W	1	101	708	0.00141243	0.142655	SSD	SSD_in_SSDCluster
YAR028W	1	97	705	0.00141844	0.137589	SSD	SSD_in_SSDCluster
YAR029W	1	38	225	0.00444444	0.168889	singletons	Singletons_in_SSDCluster
YAR031W	1	129	897	0.00111483	0.143813	SSD	SSD_in_SSDCluster
YAR033W	1	131	705	0.00141844	0.185816	SSD	SSD_in_SSDCluster
YAR035W	1	639	2064	0.000484496	0.309593	SSD	SSD_in_SSDCluster
YAR042W	3	536	3567	0.000841043	0.150266	WGD	WGD_in_WGDCluster
YAR050W	19	867	4614	0.0041179	0.187906	SSD	SSD_in_SSDCluster
YAR071W	1	334	1404	0.000712251	0.237892	SSD	SSD_in_SSDCluster
YAR073W	3	461	1212	0.00247525	0.380363	singletons	Singletons_in_ComplementCluster
YAR075W	1	142	474	0.0021097	0.299578	singletons	Singletons_in_ComplementCluster
YBL001C	1	91	315	0.0031746	0.288889	singletons	Singletons_in_SSDCluster
YBL002W	1	104	396	0.00252525	0.262626	SSD	SSD_in_SSDCluster
YBL003C	2	122	399	0.00501253	0.305764	SSD	SSD_in_SSDCluster
YBL004W	1	588	7482	0.000133654	0.0785886	singletons	Singletons_in_ComplementCluster
YBL005W	2	387	2931	0.000682361	0.132037	WGD	WGD_in_WGDCluster
YBL005W-A	1	97	1323	0.000755858	0.0733182	singletons	Singletons_in_ComplementCluster
YBL005W-B	3	435	5269	0.000569368	0.0825584	singletons	Singletons_in_ComplementCluster
YBL006C	1	99	543	0.00184162	0.18232	singletons	Singletons_in_ComplementCluster
YBL007C	4	219	3735	0.00107095	0.0586345	singletons	Singletons_in_ComplementCluster
YBL008W	6	276	2523	0.00237812	0.109394	SSD	SSD_in_SSDCluster
YBL009W	1	376	2031	0.000492368	0.18513	WGD	WGD_in_SSDCluster
YBL011W	1	224	2280	0.000438596	0.0982456	SSD	SSD_in_SSDCluster
YBL013W	2	315	1206	0.00165837	0.261194	singletons	Singletons_in_ComplementCluster
YBL014C	1	718	2685	0.000372439	0.267412	singletons	Singletons_in_ComplementCluster
YBL015W	2	369	1581	0.00126502	0.233397	singletons	Singletons_in_ComplementCluster
YBL016W	1	296	1062	0.00094162	0.278719	SSD	SSD_in_SSDCluster
YBL017C	4	1274	4740	0.000843882	0.268776	singletons	Singletons_in_ComplementCluster
YBL019W	2	380	1563	0.00127959	0.243122	singletons	Singletons_in_ComplementCluster
YBL020W	1	547	1725	0.00057971	0.317101	singletons	Singletons_in_ComplementCluster
YBL021C	1	65	435	0.00229885	0.149425	singletons	Singletons_in_ComplementCluster
YBL022C	3	649	3402	0.000881834	0.19077	singletons	Singletons_in_ComplementCluster
YBL023C	5	673	2607	0.00191791	0.258151	singletons	Singletons_in_ComplementCluster
YBL024W	1	251	2055	0.000486618	0.122141	SSD	SSD_in_SSDCluster
YBL025W	1	119	438	0.00228311	0.271689	singletons	Singletons_in_ComplementCluster
YBL026W	1	67	416	0.00240385	0.161058	singletons	Singletons_in_ComplementCluster
YBL027W	1	143	954	0.00104822	0.149895	WGD	WGD_in_WGDCluster
YBL028C	1	43	321	0.00311526	0.133956	singletons	Singletons_in_WGDCluster
YBL030C	3	291	957	0.0031348	0.304075	WGD	WGD_in_WGDCluster
YBL031W	1	309	1017	0.000983284	0.303835	singletons	Singletons_in_ComplementCluster
YBL032W	3	197	1146	0.0026178	0.171902	SSD	SSD_in_SSDCluster
YBL033C	1	241	1038	0.000963391	0.232177	singletons	Singletons_in_ComplementCluster
YBL034C	1	242	4542	0.000220167	0.0532805	singletons	Singletons_in_ComplementCluster
YBL035C	2	519	2118	0.000944287	0.245042	singletons	Singletons_in_ComplementCluster
YBL036C	1	223	774	0.00129199	0.288114	singletons	Singletons_in_ComplementCluster
YBL037W	1	611	3078	0.000324886	0.198506	singletons	Singletons_in_ComplementCluster
YBL038W	1	136	699	0.00143062	0.194564	singletons	Singletons_in_ComplementCluster
YBL039C	2	509	1740	0.00114943	0.292529	WGD	WGD_in_WGDCluster
YBL040C	1	147	757	0.001321	0.194188	singletons	Singletons_in_WGDCluster
YBL041W	1	200	726	0.00137741	0.275482	SSD	SSD_in_WGDCluster
YBL042C	1	456	1920	0.000520833	0.2375	singletons	Singletons_in_WGDCluster
YBL045C	2	328	1374	0.0014556	0.238719	singletons	Singletons_in_ComplementCluster
YBL046W	1	297	1326	0.000754148	0.223982	singletons	Singletons_in_ComplementCluster
YBL047C	4	334	4146	0.000964785	0.0805596	SSD	SSD_in_SSDCluster
YBL049W	1	97	417	0.00239808	0.232614	singletons	Singletons_in_SSDCluster
YBL050W	1	283	995	0.00100503	0.284422	singletons	Singletons_in_SSDCluster
YBL051C	1	70	2007	0.000498256	0.0348779	singletons	Singletons_in_SSDCluster
YBL052C	2	255	2496	0.000801282	0.102163	SSD	SSD_in_SSDCluster
YBL054W	1	45	1578	0.000633714	0.0285171	WGD	WGD_in_WGDCluster
YBL055C	1	377	1257	0.000795545	0.29992	singletons	Singletons_in_WGDCluster
YBL056W	1	258	1407	0.000710732	0.183369	WGD	WGD_in_WGDCluster
YBL057C	1	120	645	0.00155039	0.186047	singletons	Singletons_in_WGDCluster
YBL058W	3	194	1272	0.00235849	0.152516	singletons	Singletons_in_WGDCluster
YBL059C-A	1	73	415	0.00240964	0.175904	singletons	Singletons_in_WGDCluster
YBL060W	1	187	2064	0.000484496	0.0906008	singletons	Singletons_in_WGDCluster
YBL061C	7	253	2091	0.00334768	0.120995	WGD	WGD_in_WGDCluster
YBL063W	1	352	3336	0.00029976	0.105516	SSD	SSD_in_SSDCluster
YBL064C	2	176	762	0.00262467	0.230971	SSD	SSD_in_SSDCluster
YBL066C	2	332	1648	0.00121359	0.201456	SSD	SSD_in_SSDCluster
YBL067C	1	525	2244	0.000445633	0.233957	WGD	WGD_in_WGDCluster
YBL068W	2	231	984	0.00203252	0.234756	WGD	WGD_in_WGDCluster
YBL068W-A	1	65	237	0.00421941	0.274262	WGD	WGD_in_WGDCluster
YBL069W	2	225	1290	0.00155039	0.174419	WGD	WGD_in_WGDCluster
YBL071W-A	1	54	249	0.00401606	0.216867	singletons	Singletons_in_WGDCluster
YBL072C	1	183	603	0.00165837	0.303483	WGD	WGD_in_WGDCluster
YBL074C	1	328	1068	0.00093633	0.307116	singletons	Singletons_in_WGDCluster
YBL075C	1	606	1950	0.000512821	0.310769	WGD	WGD_in_WGDCluster
YBL076C	2	785	3219	0.000621311	0.243865	SSD	SSD_in_WGDCluster
YBL078C	1	103	354	0.00282486	0.29096	singletons	Singletons_in_WGDCluster
YBL079W	2	1065	4509	0.000443557	0.236194	WGD	WGD_in_WGDCluster
YBL080C	2	452	1626	0.00123001	0.277983	singletons	Singletons_in_ComplementCluster
YBL081W	1	367	1107	0.000903342	0.331527	singletons	Singletons_in_ComplementCluster
YBL082C	1	369	1377	0.000726216	0.267974	singletons	Singletons_in_ComplementCluster
YBL084C	5	248	2277	0.00219587	0.108915	SSD	SSD_in_SSDCluster
YBL085W	3	232	2943	0.00101937	0.0788311	WGD	WGD_in_WGDCluster
